study;ID;ID_study;mean_age_days;age_group;year;published;H_Lab;nationality;scenarios;stimuli;stimuli_2;question;measure;choice_object;xi;ni;s;x1;x2;t
Hamlin_2013;9;2;234;young;2013;yes;yes;North_America;help_hinder;live_show;real;Who do you like;reach;puppets;14;16;;;;
Hamlin_2013;9;3;150;young;2013;yes;yes;North_America;help_hinder;live_show;real;Who do you like;reach;puppets;8;16;;;;
Hamlin_2013;9;4;238;young;2013;yes;yes;North_America;help_hinder;live_show;real;Who do you like;reach;puppets;14;16;;;;
Hamlin_2013;9;5;152;young;2013;yes;yes;North_America;help_hinder;live_show;real;Who do you like;reach;puppets;6;16;;;;
Hamlin_2013;9;6;242;young;2013;yes;yes;North_America;help_hinder;live_show;real;Who do you like;reach;puppets;14;16;;;;
Hamlin_2013;9;7;146;young;2013;yes;yes;North_America;help_hinder;live_show;real;Who do you like;reach;puppets;13;16;;;;
Hamlin_et_al_2013;10;1;303;young;2013;yes;yes;North_America;help_hinder;live_show;real;Who do you like;reach;puppets;24;30;;;;
Buon_et_al_2014;11;1;300;young;2014;yes;no;Europe;other;movies;real;No;reach;experimenters;24;34;;;;
Burns_Sommerville_2014;12;1;460;old;2014;yes;no;North_America;fair_unfair;live_show;real;No;reach;experimenters;14;19;;;;
Hamlin 2014;13;1;139;young;2014;yes;yes;North_America;give_take;live_show;real;Who do you like;reach;puppets;25;28;;;;
Hamlin 2014;13;2;139;young;2014;yes;yes;North_America;give_take;live_show;real;Who do you like;reach;puppets;18;27;;;;
Cowell_Decety_2015;14;1;561;old;2015;yes;no;North_America;help_hinder;movies;cartoon;NA;reach;shapes;27;54;;;;
Hamlin_2015;15;1;278;young;2015;yes;yes;North_America;help_hinder;movies;real;Who do you like;reach;shapes;20;24;;;;
Hamlin_2015;15;2;271;young;2015;yes;yes;North_America;help_hinder;movies;real;Who do you like;reach;shapes;9;24;;;;
Hamlin_2015;15;3;274;young;2015;yes;yes;North_America;help_hinder;movies;real;Who do you like;reach;shapes;19;25;;;;
Hamlin_2015;15;4;280;young;2015;yes;yes;North_America;help_hinder;movies;real;Who do you like;reach;shapes;12;25;;;;
Raggio_et_al_2015;16;1;582;old;2015;yes;no;Europe;help_hinder;live_show;real;Who do you like;reach;puppets;3;10;;;;
Salvadori_et_al_2015;17;1;269;young;2015;yes;no;Europe;help_hinder;live_show;real;No;reach;puppets;15;24;;;;
Salvadori_et_al_2015;17;2;270;young;2015;yes;no;Europe;help_hinder;live_show;real;Who do you like;reach;puppets;12;24;;;;
Scola_et_al_2015;18;1;570;old;2015;yes;no;Europe;give_take;movies;cartoon;NA;reach;shapes;12;14;;;;
Scola_et_al_2015;18;2;960;old;2015;yes;no;Europe;give_take;movies;cartoon;NA;reach;shapes;18;25;;;;
DesChamps_et_al_2016;19;1;452;old;2016;yes;no;North_America;fair_unfair;movies;real;No;visual;experimenters;;36;;;;0.22
DesChamps_et_al_2016;19;2;459;old;2016;yes;no;North_America;fair_unfair;live_show;real;No;visual;experimenters;;21;;;;1.42
DesChamps_et_al_2016;19;3;388;old;2016;yes;no;North_America;fair_unfair;movies;real;No;visual;experimenters;;36;;;;0.32
Kanakogi_et_al_2017;20;1;192;young;2017;yes;no;Asia;other;movies;cartoon;NA;reach;shapes;17;20;;;;
